,id,token00.id,token00_creator_address
20000,0x7a7ec8f63c12f2dccc08e4eb013c4023b4a050ae,0x3c511abd08ddda0e9ca8fced2f021ae01ab17755,0x71c87346fd1c86be81fb461443f102cf67b08bfc
20001,0xe4e10688001ff74a33e5e254e5e310b38ec67a29,0x02b6361bbec213bcc34756bbd2877831d92a6c84,0x73fa3b86b27da17608cf79d325945c06657c6cce
20002,0xeff5f890350406457ddae7604cfce7595405f9d0,0xc70e28a770b866d1683348900da542954423a3a3,0x062dfc8ab0221bdc56c50f5080ca76928702923f
20003,0xdc797ed7a27e0eca78256e812389e5a57e557983,0xdc0d00397cbace3c361cd76d24163d60c4478ac2,0x379c37a18ae8c4e92ccee871f27f9c32c9f5f84b
20004,0x4751c9ca5230a33e8da11c3d4be623409ed524b8,0x7d4b8cce0591c9044a22ee543533b72e976e36c3,0x78e0743b2cc9967bac4643d559a027fa53f6bc88
20005,0x31122780cf52e45ab5a176a8b93d53b0cebd8ac3,0xe9b0a46b5b90c90b0eed6ce227b3604fa16d9737,0xbc3f7d0d37db3eaf7c5db43bbce09638a78c24e8
20006,0x1f88a4b9d45bdeced3aa90d5ad9bfc1adb81bbb2,0xa8f004bdb8103b990554abbf868592851ee8931b,0xbcd18ee1faff51a116964e1834ee4b06e9cdf85c
20007,0x277473926f13a2c47d7b308d8c9f89bbb33bda13,0x574e40d8696382fe2a954e35a1d701e13907f5cd,0x04f1d4299194fd769ec762b8ae52fafbd2520409
20008,0xb5539c661dfba5fc129a9556f98b6afc800b219e,0x47dac6bd80f024575a6d367af5ba8e89202a09fc,0x5fb4004e2d840b28759f41267fba9040c14af9af
20009,0x97e9df933ad3b3286701d82f2480b1508ff7378d,0x7607a8e740f5ad1a51248f377d54d2103161298e,0xfe3c5656106f143e780bbd25ec49932d8883a8ec
20010,0x08da48adb81e24804843ada544030d3339f52966,0x8571e318e1b858a6cb9ee6de017c73d15029908f,0xbc3f7d0d37db3eaf7c5db43bbce09638a78c24e8
20011,0xb9b00fcc1ae230b285ff123ec109b9941e508b2f,0x13bce3da58be46ec3004f00b746dd953f775cb49,0x83de4fe419f13741a5fda56fae50d0e0a8f6e289
